Entity,Code,Day,cum_excess_proj_all_ages
Azerbaijan,AZE,2020-03-31,1003.8
Azerbaijan,AZE,2020-04-30,555.2
Azerbaijan,AZE,2020-05-31,94.4
Azerbaijan,AZE,2020-06-30,2083
Azerbaijan,AZE,2020-07-31,3631
Azerbaijan,AZE,2020-08-31,4093
Azerbaijan,AZE,2020-09-30,4419.2
Azerbaijan,AZE,2020-10-31,5713.4
Azerbaijan,AZE,2020-11-30,9500.2
Azerbaijan,AZE,2020-12-31,19200
Azerbaijan,AZE,2021-01-31,21859.5
Azerbaijan,AZE,2021-02-28,22246.8
Azerbaijan,AZE,2021-03-31,23259.3
Azerbaijan,AZE,2021-04-30,25716.2
Azerbaijan,AZE,2021-05-31,26412.9
Azerbaijan,AZE,2021-06-30,27413
Azerbaijan,AZE,2021-07-31,27654.5
Azerbaijan,AZE,2021-08-31,29583
Azerbaijan,AZE,2021-09-30,32945.7
Azerbaijan,AZE,2021-10-31,34460.4
Azerbaijan,AZE,2021-11-30,37495.7
Azerbaijan,AZE,2021-12-31,39829
Barbados,BRB,2020-01-31,-29.4
Barbados,BRB,2020-02-29,-35.8
Barbados,BRB,2020-03-31,-16.4
Barbados,BRB,2020-04-30,-55.6
Barbados,BRB,2020-05-31,-66.2
Barbados,BRB,2020-06-30,-45.8
Barbados,BRB,2020-07-31,-45.4
Barbados,BRB,2020-08-31,-25.4
Barbados,BRB,2020-09-30,-77.4
Barbados,BRB,2020-10-31,-101.4
Barbados,BRB,2020-11-30,-127.4
Barbados,BRB,2020-12-31,-109.6
Barbados,BRB,2021-01-31,-226
Barbados,BRB,2021-02-28,-239.4
Barbados,BRB,2021-03-31,-147
Barbados,BRB,2021-04-30,-185.2
Barbados,BRB,2021-05-31,-224.8
Barbados,BRB,2021-06-30,-201.4
Barbados,BRB,2021-07-31,-292
Barbados,BRB,2021-08-31,-262
Barbados,BRB,2021-09-30,-270
Belarus,BLR,2020-01-31,-782.1
Belarus,BLR,2020-02-29,-1114
Belarus,BLR,2020-03-31,-1265.1
Belarus,BLR,2020-04-30,-678
Belarus,BLR,2020-05-31,946.3
Belarus,BLR,2020-06-30,4574.8
Belarus,BLR,2020-07-31,5771.5
Belarus,BLR,2020-08-31,6878
Belarus,BLR,2020-09-30,8349.3
Belarus,BLR,2020-10-31,10598
Belarus,BLR,2020-11-30,16565.1
Belarus,BLR,2020-12-31,23869
Belarus,BLR,2021-01-31,28468.4
Belarus,BLR,2021-02-28,31048
Belarus,BLR,2021-03-31,31222.4
Belgium,BEL,2020-01-05,-151.3
Belgium,BEL,2020-01-12,-189.8
Belgium,BEL,2020-01-19,-293.5
Belgium,BEL,2020-01-26,-506.8
Belgium,BEL,2020-02-02,-655.7
Belgium,BEL,2020-02-09,-970
Belgium,BEL,2020-02-16,-1181.5
Belgium,BEL,2020-02-23,-1363.2
Belgium,BEL,2020-03-01,-1653.9
Belgium,BEL,2020-03-08,-1889.6
Belgium,BEL,2020-03-15,-1995.1
Belgium,BEL,2020-03-22,-1758.2
Belgium,BEL,2020-03-29,-781.9
Belgium,BEL,2020-04-05,1124.6
Belgium,BEL,2020-04-12,3326.5
Belgium,BEL,2020-04-19,4983.2
Belgium,BEL,2020-04-26,5995.1
Belgium,BEL,2020-05-03,6417
Belgium,BEL,2020-05-10,6781.9
Belgium,BEL,2020-05-17,6847.8
Belgium,BEL,2020-05-24,6964.7
Belgium,BEL,2020-05-31,7021.4
Belgium,BEL,2020-06-07,6947.5
Belgium,BEL,2020-06-14,6991
Belgium,BEL,2020-06-21,6895.5
Belgium,BEL,2020-06-28,6971.6
Belgium,BEL,2020-07-05,6721.5
Belgium,BEL,2020-07-12,6546.8
Belgium,BEL,2020-07-19,6506.1
Belgium,BEL,2020-07-26,6325.4
Belgium,BEL,2020-08-02,6392.1
Belgium,BEL,2020-08-09,6567.8
Belgium,BEL,2020-08-16,7599.7
Belgium,BEL,2020-08-23,7918
Belgium,BEL,2020-08-30,7894.1
Belgium,BEL,2020-09-06,7942.2
Belgium,BEL,2020-09-13,7907.9
Belgium,BEL,2020-09-20,8034.2
Belgium,BEL,2020-09-27,8047.7
Belgium,BEL,2020-10-04,8003.8
Belgium,BEL,2020-10-11,8048.9
Belgium,BEL,2020-10-18,8206
